date,open,high,low,close,volume,MACD,Signal,Hist,RSI,CMF
2006-07-11,418.505,425.05,413.03,424.56,11930600.0,8.39803957535446,4.335810390184959,4.0622291851695005,78.87131122604198,-0.02420331129910673
2006-07-10,423.44,425.23,416.38,418.2,8863900.0,8.961719736585223,5.260992259465013,3.7007274771202106,71.30915273448568,-0.060666143174795635
2006-07-07,426.05,427.89,415.88,420.45,12071700.0,9.480708811776367,6.104935569927283,3.3757732418490836,78.34897928773658,-0.05098613888744602
2006-07-06,423.375,425.38,421.98,423.19,7366800.0,9.997857416991451,6.8835199393401165,3.1143374776513344,78.23220973782773,-0.09109976259313379
2006-07-05,421.52,422.8,415.64,421.46,9961200.0,10.151089430570266,7.537033837586147,2.614055592984119,74.83751160631383,-0.03287512933776816
2006-07-03,420.04,423.77,419.45,423.2,4309000.0,10.29426449043325,8.088479968155568,2.205784522277682,74.91514964517125,0.02156278536348817
2006-06-30,415.6,419.33,412.33,419.33,12503400.0,9.980407178469022,8.46686541021826,1.5135417682507626,71.51904327078852,0.06535685410722969
2006-06-29,407.99,418.2,405.82,417.81,13303000.0,9.499517179882105,8.67339576415103,0.826121415731075,73.09950323648954,0.09183572112978058
2006-06-28,404.01,406.48,401.13,406.11,7413500.0,8.081161572101621,8.554948925741149,-0.47378735363952806,55.36603773584907,0.12074301319962198
2006-06-27,405.71,408.0,401.01,402.32,8205900.0,6.575485109343731,8.159056162461665,-1.5835710531179341,49.44688589180177,0.12099194461590446
2006-06-26,406.75,408.3,403.25,404.22,7095200.0,5.472456711349992,7.621736272239331,-2.1492795608893394,47.08961141950836,0.08383574196037769
2006-06-23,402.76,409.75,400.74,404.86,10618900.0,4.596950625043235,7.016779142800112,-2.4198285177568772,51.146711635750435,0.047420154069763285
2006-06-22,401.58,406.0,388.0,399.95,11811900.0,3.466944994745404,6.306812313189171,-2.8398673184437673,42.4592391304348,-0.01036383736691311
2006-06-21,391.06,404.0,389.75,402.13,17471300.0,2.7160067374494474,5.588651198041227,-2.872644460591779,35.638297872340445,0.13903344176188978
2006-06-20,388.03,391.87,386.51,387.17,8071700.0,0.903322840850592,4.6515855266031,-3.7482626857525077,18.991540885719076,0.09041422316029965
2006-06-19,390.85,394.8,386.98,388.14,15250900.0,-0.4497864552408828,3.631311130234303,-4.081097585475186,22.622950819672155,0.0552089581346123
2006-06-16,389.1,390.93,388.0,390.7,10598500.0,-1.3005725253382252,2.6449343991197973,-3.9455069244580225,23.057417134577094,0.08907076340016881
2006-06-15,386.62,392.25,383.0,391.0,13557800.0,-1.9283898449263006,1.730269550310578,-3.658659395236879,19.499715747583878,0.15289687813606154
2006-06-14,389.83,391.1,378.52,384.39,15528400.0,-2.925587005914906,0.7990982390654812,-3.724685244980387,17.84908933217696,0.18873354887241311
2006-06-13,380.9,387.0,378.12,386.525,15302800.0,-3.503213419727558,-0.061364092693126704,-3.4418493270344315,18.408131622017407,0.2824560457009239
2006-06-12,386.85,390.49,381.0,381.54,10028100.0,-4.313510884455582,-0.9117934510456177,-3.401717433409964,18.061189993238685,0.19442871253309466
2006-06-09,392.19,395.43,387.25,388.2904,12302600.0,-4.360709058992313,-1.601576572634957,-2.7591324863573563,27.077638902693522,0.17367433609219543
2006-06-08,387.75,394.27,378.59,393.3,20698200.0,-3.9483667848089112,-2.070934615069748,-1.8774321697391634,38.899480069324085,0.25804747497400843
2006-06-07,393.24,394.86,386.5,386.51,17804700.0,-4.1219633872600525,-2.481140369507809,-1.6408230177522434,36.976935749588144,0.18224349544131183
2006-06-06,376.585,390.0,376.3,389.99,20499000.0,-3.9333913420322233,-2.7715905640126923,-1.161800778019531,38.57578676942837,0.23104362445990637
2006-06-05,376.18,381.45,374.15,374.44,11105800.0,-4.981280579052736,-3.213528567020701,-1.7677520120320351,30.29537504858142,0.173299328964683
2006-06-02,386.84,387.08,377.45,379.44,12760000.0,-5.346649290917185,-3.640152711799998,-1.7064965791171867,36.73007246376812,0.09607462754493296
2006-06-01,373.54,382.99,371.6,382.62,12543400.0,-5.31830113877777,-3.9757823971955526,-1.342518741582217,37.538323965252935,0.09350994131289943
2006-05-31,373.8022,378.25,366.78,371.82,15946600.0,-6.097022089223742,-4.4000303356011905,-1.6969917536225516,39.64516999460332,0.059383994878260994
2006-05-30,378.28,381.0,371.45,371.94,8623300.0,-6.628076713200244,-4.845639611121001,-1.7824371020792427,38.944997952777406,0.04954528060087862
2006-05-26,384.55,385.88,380.03,381.35,7326600.0,-6.217956242376204,-5.120102937372042,-1.0978533050041612,44.165002496255646,0.0508064972381926
2006-05-25,379.08,383.0,372.31,382.99,16372800.0,-5.694950674153574,-5.23507248472835,-0.4598781894252246,45.08347655290941,0.112784046068889
2006-05-24,377.35,383.44,371.61,381.25,19088400.0,-5.359092172849216,-5.259876422352524,-0.0992157504966924,47.95012403708057,0.13887574983042805
2006-05-23,374.21,383.88,373.56,375.58,17948000.0,-5.487190587236398,-5.305339255329299,-0.18185133190709912,43.17004680187208,0.05402324516635554
2006-05-22,367.85,373.03,365.25,370.95,17191500.0,-5.894365235690884,-5.423144451401616,-0.47122078428926795,43.36216622790521,0.10080947332856485
2006-05-19,373.28,374.5,360.57,370.02,22773600.0,-6.220392493190104,-5.582594059759314,-0.63779843343079,37.64672155089415,0.16152499377128823
2006-05-18,378.78,381.81,370.71,370.99,11658300.0,-6.327560373074732,-5.731587322422398,-0.5959730506523337,34.043770562151366,0.09406061832587718
2006-05-17,370.61,379.84,370.22,374.5,21266300.0,-6.059414861610321,-5.797152830259984,-0.2622620313503372,40.987543148731824,0.05180767393047364
2006-05-16,375.99,376.86,369.89,371.3,12969200.0,-6.0355468413847575,-5.844831632484938,-0.1907152088998192,35.91559909570461,0.030268159841721844
2006-05-15,375.93,380.15,368.25,376.2,17163000.0,-5.557182474069748,-5.787301800801901,0.23011932673215263,51.5798922800718,0.0042841662546088954
2006-05-12,383.5,384.87,373.55,374.13,20155000.0,-5.2841940669247265,-5.686680254026466,0.4024861871017391,44.968732234224,-0.02495769995641731
2006-05-11,403.42,404.71,384.98,387.0,17767800.0,-3.983428858284924,-5.3460299748781575,1.3626011165932335,53.50624399615754,-0.03994265276667642
2006-05-10,408.31,411.71,401.86,402.98,12362000.0,-1.644157781905733,-4.605655536283673,2.96149775437794,73.03370786516854,-0.1293737930368936
2006-05-09,395.7,409.0,393.75,408.8,18262900.0,0.6716148025155917,-3.55020146852382,4.221816271039412,75.12953367875647,-0.01590301713361277
2006-05-08,395.11,397.12,390.05,394.78,10226900.0,1.359908254099139,-2.5681795239992287,3.9280877780983676,58.61449647209746,-0.07249149393507699
2006-05-05,397.6,400.68,391.78,394.3,12117800.0,1.8453813770879606,-1.685467343781791,3.5308487208697517,57.364240135434294,-0.05593710897422996
2006-05-04,395.03,398.87,392.21,394.75,9294600.0,2.2406052611721634,-0.9002528227910003,3.1408580839631637,58.94039735099338,-0.039038282188738914
2006-05-03,396.55,401.5,390.88,394.17,16128200.0,2.478451834045302,-0.22451189142373984,2.7029637254690417,63.20124982246843,-0.09721762575196766
2006-05-02,401.0,402.49,388.4,394.8,26182300.0,2.6868108089852285,0.3577526486580539,2.3290581603271745,67.95663303719323,-0.09553288583641126
2006-05-01,417.85,419.44,398.55,398.9,20701600.0,3.1465016205879692,0.915502443044037,2.230999177543932,70.75308996838174,-0.12953016712013316
2006-04-28,417.73,425.73,416.3,417.94,14827700.0,4.9896610698996255,1.7303341684151547,3.259326901484471,76.78265830005707,-0.1435181263543841
2006-04-27,422.77,426.91,419.39,420.03,16659100.0,6.543593275828698,2.6929859898978634,3.8506072859308347,76.40032471297694,-0.23351098441898022
2006-04-26,428.7,430.04,423.53,425.97,14541000.0,8.160336818641099,3.786456155646511,4.373880662994588,80.7238394964595,-0.28415870308723273
2006-04-25,439.43,441.04,426.0,427.16,19118800.0,9.428949716073816,4.914954867731972,4.513994848341844,79.88505747126439,-0.298991430950308
2006-04-24,439.34,444.7,436.52,440.5,17655100.0,11.379584325560131,6.207880759297605,5.171703566262527,84.37791360198904,-0.32411067511121
2006-04-21,450.0,450.72,436.17,437.1,45057400.0,12.506952360621312,7.467695079562347,5.0392572810589655,78.77325982081327,-0.437634027010359
2006-04-20,411.9,436.99,408.2,415.0,24518400.0,11.484725580562497,8.271101179762377,3.2136244008001196,56.44988194891607,-0.4273829070319997
2006-04-19,412.37,413.64,406.73,410.5,13549800.0,10.193981230595568,8.655677189929015,1.538304040666553,50.92532114086653,-0.42660147213527716
2006-04-18,407.54,409.83,401.5,404.24,16258900.0,8.567170344090357,8.637975820761284,-0.07080547667092674,55.62425683709872,-0.4167749221285699
2006-04-17,403.78,412.5,400.84,406.82,16502400.0,7.400783805157857,8.3905374176406,-0.9897536124827422,57.26218097447795,-0.432304068580224
2006-04-13,408.81,409.76,400.5,402.16,13092600.0,6.0308708894113465,7.91860411199475,-1.8877332225834031,54.09799800906981,-0.41359613113439214
2006-04-12,409.15,411.33,405.19,408.95,12021900.0,5.430501842721981,7.420983658140196,-1.9904818154182156,57.64851997516042,-0.3721869357214769
2006-04-11,416.38,419.1,406.22,409.66,22192100.0,4.954879349244891,6.927762796361136,-1.9728834471162449,57.68355739400208,-0.3641864699733284
2006-04-10,407.61,417.17,405.25,416.38,18621500.0,5.061843158067745,6.554578868702459,-1.4927357106347134,58.79983890455096,-0.368361797313683
2006-04-07,412.56,412.85,404.02,406.16,14037700.0,4.272691234403965,6.09820134184276,-1.8255101074387952,43.49171270718232,-0.39393998514611694
2006-04-06,407.0,413.89,405.43,411.18,17179800.0,4.006174015187014,5.679795876511611,-1.6736218613245972,45.26383388633202,-0.35747822444058885
2006-04-05,407.7,414.57,402.82,407.99,26794100.0,3.4972368888467713,5.243284078978644,-1.7460471901318728,40.086016762240824,-0.3438763730426975
2006-04-04,390.0,404.9,388.14,404.34,31399900.0,2.7674743324395195,4.748122129670819,-1.9806477972313,37.74962422160184,-0.24238641489494925
2006-04-03,389.75,392.47,387.93,389.7,16229100.0,0.9963216249131506,3.997762028719286,-3.0014404038061353,23.104616687844086,-0.25156924743172904
2006-03-31,388.75,391.87,384.03,390.0,72969700.0,-0.3787560989312624,3.1224584031891762,-3.5012145021204386,24.21721042259685,-0.09066493791304392
2006-03-30,389.22,393.5,383.61,388.44,29393900.0,-1.576224331585081,2.182721856234325,-3.758946187819406,31.24293785310732,-0.06814974179546
2006-03-29,380.0,399.0,379.51,394.98,38016900.0,-1.9747396211961359,1.3512295607482332,-3.325969181944369,39.346512904997255,0.010350009528473933
2006-03-28,372.0,377.86,371.17,377.2,17873700.0,-3.6828101230714765,0.3444216239842913,-4.027231747055768,33.97344713134184,0.047560367717304736
2006-03-27,367.25,371.71,365.0,369.69,14033300.0,-5.578160970716567,-0.8400948949558803,-4.7380660757606865,29.208198006495678,0.09363413180305753
2006-03-24,368.52,370.09,362.51,365.8,30330800.0,-7.3098670653591284,-2.13404932903653,-5.175817736322598,29.46226841391774,0.08401625289486762
2006-03-23,342.27,345.75,340.2,341.89,14854500.0,-10.490663953579258,-3.805372253945076,-6.685291699634182,18.26012873911398,0.16235788295489806
2006-03-22,339.91,344.1,337.5,340.22,15176800.0,-12.99640893490755,-5.643579590137572,-7.352829344769978,17.42964352720449,0.18851708568118622
2006-03-21,349.97,351.66,339.08,339.92,19642500.0,-14.835423846946469,-7.481948441499352,-7.353475405447117,11.838690357356768,0.14602400537764784
2006-03-20,342.01,350.09,341.54,348.19,20794300.0,-15.4474677370402,-9.07505230060752,-6.372415436432679,20.492721164613656,0.18170136186097977
2006-03-17,338.94,341.78,334.93,339.79,17086200.0,-16.421035255067636,-10.544248891499544,-5.876786363568092,14.870583603976002,0.19605588536390833
2006-03-16,348.7,348.75,337.9,338.77,20013300.0,-17.078035045487184,-11.851006122297072,-5.227028923190112,15.195092518101376,0.1752260657537145
2006-03-15,350.87,352.3,340.53,344.5,25512000.0,-16.941062971935708,-12.869017492224799,-4.0720454797109085,20.527974783293956,0.1475014047178226
2006-03-14,336.59,352.37,332.62,351.16,36864400.0,-16.109406071324884,-13.517095208044816,-2.5923108632800673,29.3991875133633,0.22906159847487387
2006-03-13,339.72,346.1,335.45,337.06,27257500.0,-16.399026379150314,-14.093481442265917,-2.305544936884397,25.3400409912428,0.15556888737659721
2006-03-10,343.5,344.5,331.55,337.5,38612500.0,-16.403953670134342,-14.555575887839604,-1.8483777822947385,26.02146488420263,0.1560964974026441
